﻿﻿name;code;description
﻿1;168;1
﻿111;169;12123
﻿123;170;123123
﻿123123;171;mô tả tài sảnrửewrwer
﻿12323;172;1,23123E+14
﻿2;173;2
﻿3;174;4
﻿5;175;123
﻿5;176;5
﻿53453454354;177;234234234
﻿5564356;178;6456456456
﻿7878976678;179;3,45345E+11
﻿ádasd;180;567567
﻿ádasd;181;567568
﻿ádasd;182;567569
﻿ádasd;183;567570
﻿ádasd;184;567571
﻿ádasd;185;567572
﻿ádasd;186;567573
﻿ádasd;187;567574
﻿ádasd;188;567575
﻿ádasd;189;567576
﻿ádasd;190;567577
﻿ádasd;191;567578
﻿ádasd;192;567579
﻿ádasd;193;567580
﻿ádasd;194;567581
﻿ádasd;195;567582
﻿ádasd;196;567583
﻿ádasd;197;567583
﻿ádasd;198;567583
﻿ádasd;199;567583
﻿ádasd;200;567583
﻿ádasd;201;567583
﻿ádasd;202;567583
﻿ádasd;203;567583
﻿ádasd;204;567583
﻿ádasd;205;567583
﻿ádasd;206;567583
﻿ádasd;207;567583
﻿ádasd;208;567583
﻿ádasd;209;567583
﻿ádasd;210;567583
﻿ádasd;211;567583
﻿ádasd;212;567583
﻿ádasd;213;567583
﻿ádasd;214;567583
﻿ádasd;215;567583
﻿ádasd;216;567583
﻿ádasd;217;567583
﻿ádasd;218;567583
﻿ádasd;219;567583
﻿ádasd;220;567583
﻿ádasd;221;567583
﻿ádasd;222;567583
﻿ádasd;223;567583
﻿ádasd;224;567583
﻿ádasd;225;567583
﻿ádasd;226;567583
﻿ádasd;227;567583
﻿ádasd;228;567583
﻿ádasd;229;567583
﻿ádasd;230;567583
﻿ádasd;231;567583
﻿ádasd;232;567583
﻿ádasd;233;567583
﻿ádasd;234;567583
﻿ádasd;235;567583
﻿ádasd;236;567583
﻿ádasd;237;567583
﻿ádasd;238;567583
﻿ádasd;239;567583
﻿ádasd;240;567583
﻿ádasd;241;567583
﻿ádasd;242;567583
﻿ádasd;243;567583
﻿ádasd;244;567583
﻿ádasd;245;567583
﻿ádasd;246;567583
﻿ádasd;247;567583
﻿ádasd;248;567583
﻿ádasd;249;567583
﻿ádasd;250;567583
﻿ádasd;251;567583
﻿ádasd;252;567583
﻿ádasd;253;567583
﻿ádasd;254;567583
﻿ádasd;255;567583
﻿ádasd;256;567583
﻿ádasd;257;567583
﻿ádasd;258;567583
﻿ádasd;259;567583
﻿ádasd;260;567583
﻿ádasd;261;567583
﻿ádasd;262;567583
﻿ádasd;263;567583
﻿ádasd;264;567583
﻿ádasd;265;567583
﻿ádasd;266;567583
﻿ádasd;267;567583
﻿ádasd;268;567583
﻿ádasd;269;567583
﻿ádasd;270;567583
﻿ádasd;271;567583
﻿ádasd;272;567583
﻿ádasd;273;567583
﻿ádasd;274;567583
﻿ádasd;275;567583
﻿ádasd;276;567583
﻿ádasd;277;567583
﻿ádasd;278;567583
﻿ádasd;279;567583
﻿ádasd;280;567583
﻿ádasd;281;567583
﻿ádasd;282;567583
﻿ádasd;283;567583
﻿ádasd;284;567583
﻿ádasd;285;567583
﻿ádasd;286;567583
﻿ádasd;287;567583
﻿ádasd;288;567583
﻿ádasd;289;567583
﻿ádasd;290;567583
﻿ádasd;291;567583
﻿ádasd;292;567583
﻿ádasd;293;567583
﻿ádasd;294;567583
﻿ádasd;295;567583
﻿ádasd;296;567583
﻿ádasd;297;567583
﻿ádasd;298;567583
﻿ádasd;299;567583
﻿ádasd;300;567583
﻿ádasd;301;567583
﻿ádasd;302;567583
﻿ádasd;303;567583
﻿ádasd;304;567583
﻿ádasd;305;567583
﻿ádasd;306;567583
﻿ádasd;307;567583
﻿ádasd;308;567583
﻿ádasd;309;567583
﻿ádasd;310;567583
﻿ádasd;311;567583
﻿ádasd;312;567583
﻿ádasd;313;567583
﻿ádasd;314;567583
﻿ádasd;315;567583
﻿ádasd;316;567583
﻿ádasd;317;567583
﻿ádasd;318;567583
﻿ádasd;319;567583
﻿ádasd;320;567583
﻿ádasd;321;567583
﻿ádasd;322;567583
﻿ádasd;323;567583
﻿ádasd;324;567583
﻿ádasd;325;567583
﻿ádasd;326;567583
﻿ádasd;327;567583
﻿ádasd;328;567583
﻿ádasd;329;567583
﻿ádasd;330;567583
﻿ádasd;331;567583
﻿ádasd;332;567583
﻿ádasd;333;567583
﻿ádasd;334;567583
﻿ádasd;335;567583
﻿ádasd;336;567583
﻿ádasd;337;567583
﻿ádasd;338;567583
﻿ádasd;339;567583
﻿ádasd;340;567583
﻿ádasd;341;567583
﻿ádasd;342;567583
﻿ádasd;343;567583
﻿ádasd;344;567583
﻿ádasd;345;567583
﻿ádasd;346;567583
﻿ádasd;347;567583
﻿ádasd;348;567583
﻿ádasd;349;567583
﻿ádasd;350;567583
﻿ádasd;351;567583
﻿ádasd;352;567583
﻿ádasd;353;567583
﻿ádasd;354;567583
﻿ádasd;355;567583
﻿ádasd;356;567583
﻿ádasd;357;567583
﻿ádasd;358;567583
﻿ádasd;359;567583
﻿ádasd;360;567583
﻿ádasd;361;567583
﻿ádasd;362;567583
﻿ádasd;363;567583
﻿ádasd;364;567583
﻿ádasd;365;567583
﻿ádasd;366;567583
﻿ádasd;367;567583
﻿ádasd;368;567583
﻿ádasd;369;567583
﻿ádasd;370;567583
﻿ádasd;371;567583
﻿ádasd;372;567583
﻿ádasd;373;567583
﻿ádasd;374;567583
﻿ádasd;375;567583
﻿ádasd;376;567583
﻿ádasd;377;567583
﻿ádasd;378;567583
﻿ádasd;379;567583
﻿ádasd;380;567583
﻿ádasd;381;567583
﻿ádasd;382;567583
﻿ádasd;383;567583
﻿ádasd;384;567583
﻿ádasd;385;567583
﻿ádasd;386;567583
﻿ádasd;387;567583
﻿ádasd;388;567583
﻿ádasd;389;567583
﻿ádasd;390;567583
﻿ádasd;391;567583
﻿ádasd;392;567583
﻿ádasd;393;567583
﻿ádasd;394;567583
﻿ádasd;395;567583
﻿ádasd;396;567583
﻿ádasd;397;567583
﻿ádasd;398;567583
﻿ádasd;399;567583
﻿ádasd;400;567583
﻿ádasd;401;567583
﻿ádasd;402;567583
﻿ádasd;403;567583
﻿ádasd;404;567583
﻿ádasd;405;567583
﻿ádasd;406;567583
﻿ádasd;407;567583
﻿ádasd;408;567583
﻿ádasd;409;567583
﻿ádasd;410;567583
﻿ádasd;411;567583
﻿ádasd;412;567583
﻿ádasd;413;567583
﻿ádasd;414;567583
﻿ádasd;415;567583
﻿ádasd;416;567583
﻿ádasd;417;567583
﻿ádasd;418;567583
﻿ádasd;419;567583
﻿ádasd;420;567583
﻿ádasd;421;567583
﻿ádasd;422;567583
﻿ádasd;423;567583
﻿ádasd;424;567583
﻿ádasd;425;567583
﻿ádasd;426;567583
﻿ádasd;427;567583
﻿ádasd;428;567583
﻿ádasd;429;567583
﻿ádasd;430;567583
﻿ádasd;431;567583
﻿ádasd;432;567583
﻿ádasd;433;567583
﻿ádasd;434;567583
﻿ádasd;435;567583
﻿ádasd;436;567583
﻿ádasd;437;567583
﻿ádasd;438;567583
﻿ádasd;439;567583
﻿ádasd;440;567583
﻿ádasd;441;567583
﻿ádasd;442;567583
﻿ádasd;443;567583
﻿ádasd;444;567583
﻿ádasd;445;567583
﻿ádasd;446;567583
﻿ádasd;447;567583
﻿ádasd;448;567583
﻿ádasd;449;567583
﻿ádasd;450;567583
﻿ádasd;451;567583
﻿ádasd;452;567583
﻿ádasd;453;567583
﻿ádasd;454;567583
﻿ádasd;455;567583
﻿ádasd;456;567583
﻿ádasd;457;567583
﻿ádasd;458;567583
﻿ádasd;459;567583
﻿ádasd;460;567583
﻿ádasd;461;567583
﻿ádasd;462;567583
﻿ádasd;463;567583
﻿ádasd;464;567583
﻿ádasd;465;567583
﻿ádasd;466;567583
﻿ádasd;467;567583
﻿ádasd;468;567583
﻿ádasd;469;567583
﻿ádasd;470;567583
﻿ádasd;471;567583
﻿ádasd;472;567583
﻿ádasd;473;567583
﻿ádasd;474;567583
﻿ádasd;475;567583
﻿ádasd;476;567583
﻿ádasd;477;567583
﻿ádasd;478;567583
﻿ádasd;479;567583
﻿ádasd;480;567583
﻿ádasd;481;567583
﻿ádasd;482;567583
﻿ádasd;483;567583
﻿ádasd;484;567583
﻿ádasd;485;567583
﻿ádasd;486;567583
﻿ádasd;487;567583
﻿ádasd;488;567583
﻿ádasd;489;567583
﻿ádasd;490;567583
﻿ádasd;491;567583
﻿ádasd;492;567583
﻿ádasd;493;567583
﻿ádasd;494;567583
﻿ádasd;495;567583
﻿ádasd;496;567583
﻿ádasd;497;567583
﻿ádasd;498;567583
﻿ádasd;499;567583
﻿ádasd;500;567583
﻿ádasd;501;567583
﻿ádasd;502;567583
﻿ádasd;503;567583
﻿ádasd;504;567583
